,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
DepthRangeDeep,8,4,0,0,1,15,4.666666666666667
Vulnerability,15,7,1,1,0,14,6.333333333333333
Length,11,18,2,2,2,1,6.0
UsedforAquaculture_commercial,5,11,14,14,15,13,12.0
UsedforAquaculture_likely future use,19,15,12,12,17,19,15.666666666666666
UsedforAquaculture_never/rarely,7,9,10,10,16,17,11.5
DemersPelag_bathydemersal,9,14,5,5,8,2,7.166666666666667
DemersPelag_benthopelagic,3,2,3,3,3,18,5.333333333333333
DemersPelag_demersal,14,6,18,18,6,0,10.333333333333334
DemersPelag_pelagic-neritic,6,5,7,7,5,4,5.666666666666667
DemersPelag_pelagic-oceanic,4,10,11,11,18,6,10.0
DemersPelag_reef-associated,0,1,6,6,4,9,4.333333333333333
LTypeMaxM_FL,2,3,8,8,10,7,6.333333333333333
LTypeMaxM_SL,1,0,4,4,13,8,5.0
LTypeMaxM_TL,16,8,13,13,7,3,10.0
Fresh_-1,17,12,9,9,14,10,11.833333333333334
Fresh_0,13,13,17,17,9,16,14.166666666666666
Brack_-1,18,17,16,16,11,12,15.0
Brack_0,12,16,19,19,12,11,14.833333333333334
Saltwater_-1,10,19,15,15,19,5,13.833333333333334
